#,obj_tags,obj_count,raw_id,identifier,typ,coord1_(ICRS,J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,bib,not
190,,0,(null),2MASX J15585587+2726303,GiC,15 58 55.8849657024 +27 26 30.297269868,~,~,~,~,~,~,10,0
191,,0,(null),2MASX J15585662+2730393,GiC,15 58 56.5991602752 +27 30 39.262106088,~,16.85,~,~,~,~,12,0
192,,0,(null),LEDA 1803986,GiC,15 58 56.6167701168 +27 18 23.482687824,~,~,~,~,~,~,8,0
193,,0,(null),LEDA 1804515,GiC,15 58 59.0003926152 +27 19 21.674373564,~,~,~,~,~,~,7,0
194,,0,(null),3XMM J155904.7+271605,LIN,15 59 04.4211646536 +27 16 06.762541980,~,~,~,~,~,~,11,0
195,,0,(null),2MASX J15591244+2705593,GiC,15 59 12.4312990560 +27 05 58.946968356,~,~,~,~,~,~,10,0
196,,0,(null),LEDA 3495296,GiC,15 59 14.6761135488 +27 17 23.958009204,~,~,~,~,~,~,7,0
197,,0,(null),LEDA 1799944,GiC,15 59 14.8779024096 +27 10 22.804695264,~,~,~,~,~,~,7,0
198,,0,(null),2MASX J15591875+2720029,GiC,15 59 18.7368627984 +27 20 03.026011056,~,~,~,~,~,~,9,0
199,,0,(null),2MASX J15592139+2711479,GiC,15 59 21.4195187232 +27 11 47.560881264,~,~,~,~,~,~,6,0
200,,0,(null),2E 3546,Sy1,15 59 22.1899944360 +27 03 38.941971084,~,16.65,16.10,~,~,~,35,0
201,,0,(null),2MASX J15592287+2720479,GiC,15 59 22.8772538496 +27 20 47.936392764,~,~,~,~,~,~,7,0
202,,0,(null),2MASX J15592393+2715169,GiC,15 59 23.9205474696 +27 15 17.199356580,~,~,~,~,~,~,7,0
203,,0,(null),2MASX J15592453+2713009,GiC,15 59 24.5660954280 +27 13 00.628534920,~,~,~,~,~,~,8,0
204,,0,(null),KOI-2826,GiC,19 19 23.4671081232 +44 11 08.320192404,~,~,~,~,~,~,7,0
205,,0,(null),2MASX J19192555+4405063,GiC,19 19 25.5938951712 +44 05 06.239269140,~,~,~,~,~,~,3,0
206,,0,(null),2MASX J19192570+4342463,GiC,19 19 25.708 +43 42 46.34,~,~,~,~,~,~,3,0
207,,0,(null),[OHF95] ACO 2319 336,GiC,19 19 34.8 +44 01 56,~,~,~,~,~,~,3,0
208,,0,(null),2MASX J19194300+4405083,GiC,19 19 43.0141404888 +44 05 07.962425592,~,~,~,~,~,~,2,0
209,,0,(null),2MASX J19194633+4400593,GiC,19 19 46.3432786848 +44 00 59.159961396,~,~,~,~,~,~,3,0
210,,0,(null),2MASX J19195319+4341555,GiC,19 19 53.196 +43 41 55.51,~,~,~,~,~,~,3,0
211,,0,(null),[OHF95] ACO 2319 244,GiC,19 19 57.8 +43 54 55,~,~,~,~,~,~,1,0
212,,0,(null),2MASX J19200066+4405095,GiC,19 20 00.6877052016 +44 05 09.992713380,~,~,~,~,~,~,5,0
213,,0,(null),2MASX J19200432+4351576,GiC,19 20 04.3460021712 +43 51 56.872134648,~,~,~,~,~,~,2,0
214,,0,(null),2MASX J19200996+4351216,GiC,19 20 09.9481804896 +43 51 21.883600476,~,~,~,~,~,~,2,0
215,,0,(null),2MASX J19200996+4347316,GiC,19 20 09.9614688312 +43 47 31.739304264,~,~,~,~,~,~,3,0
216,,0,(null),2MASX J19201015+4344496,GiC,19 20 10.1697012216 +43 44 49.472655792,~,~,~,~,~,~,3,0
217,,0,(null),2MASX J19201077+4411336,G,19 20 10.774 +44 11 33.65,~,~,~,~,~,~,5,0
218,,0,(null),2MASX J19201346+4357556,GiC,19 20 13.4603199912 +43 57 55.994420628,~,~,~,~,~,~,4,0
219,,0,(null),NVSS J192017+434851,rG,19 20 18.9936711816 +43 48 38.012111640,~,~,~,~,~,~,6,0
